epoch,eval_accuracy,eval_f1,eval_mse,eval_pearson,eval_precision,eval_recall,eval_spearman,lr-AdamW,step,train_loss,val_accuracy,val_f1,val_mse,val_pearson,val_precision,val_recall,val_spearman
,,,,,,,,5.263157894736842e-10,4,,,,,,,,
0,,,,,,,,,4,0.12274172157049179,,,,,,,
,,,,,,,,1.1842105263157895e-09,9,,,,,,,,
0,,,,,,,,,9,0.1901254653930664,,,,,,,
,,,,,,,,1.8421052631578947e-09,14,,,,,,,,
0,,,,,,,,,14,0.10355256497859955,,,,,,,
,,,,,,,,2.5e-09,19,,,,,,,,
0,,,,,,,,,19,0.10069652646780014,,,,,,,
,,,,,,,,3.157894736842105e-09,24,,,,,,,,
0,,,,,,,,,24,0.14653770625591278,,,,,,,
,,,,,,,,3.81578947368421e-09,29,,,,,,,,
0,,,,,,,,,29,0.15214107930660248,,,,,,,
,,,,,,,,4.473684210526315e-09,34,,,,,,,,
0,,,,,,,,,34,0.176264688372612,,,,,,,
,,,,,,,,5.131578947368421e-09,39,,,,,,,,
0,,,,,,,,,39,0.0981486365199089,,,,,,,
,,,,,,,,5.789473684210526e-09,44,,,,,,,,
0,,,,,,,,,44,0.15968191623687744,,,,,,,
,,,,,,,,6.447368421052631e-09,49,,,,,,,,
0,,,,,,,,,49,0.04303658381104469,,,,,,,
,,,,,,,,7.105263157894737e-09,54,,,,,,,,
0,,,,,,,,,54,0.11072687804698944,,,,,,,
,,,,,,,,7.763157894736842e-09,59,,,,,,,,
0,,,,,,,,,59,0.07852540910243988,,,,,,,
,,,,,,,,8.421052631578947e-09,64,,,,,,,,
0,,,,,,,,,64,0.1921103298664093,,,,,,,
,,,,,,,,9.078947368421053e-09,69,,,,,,,,
0,,,,,,,,,69,0.08621296286582947,,,,,,,
,,,,,,,,9.736842105263157e-09,74,,,,,,,,
0,,,,,,,,,74,0.13115465641021729,,,,,,,
,,,,,,,,1.0394736842105264e-08,79,,,,,,,,
0,,,,,,,,,79,0.15054920315742493,,,,,,,
,,,,,,,,1.1052631578947366e-08,84,,,,,,,,
0,,,,,,,,,84,0.10207057744264603,,,,,,,
,,,,,,,,1.1710526315789473e-08,89,,,,,,,,
0,,,,,,,,,89,0.07421983033418655,,,,,,,
,,,,,,,,1.2368421052631579e-08,94,,,,,,,,
0,,,,,,,,,94,0.157292902469635,,,,,,,
,,,,,,,,1.3026315789473683e-08,99,,,,,,,,
0,,,,,,,,,99,0.17601701617240906,,,,,,,
,,,,,,,,1.368421052631579e-08,104,,,,,,,,
0,,,,,,,,,104,0.1385684609413147,,,,,,,
,,,,,,,,1.4342105263157892e-08,109,,,,,,,,
0,,,,,,,,,109,0.1806291937828064,,,,,,,
,,,,,,,,1.5e-08,114,,,,,,,,
0,,,,,,,,,114,0.08043856918811798,,,,,,,
,,,,,,,,1.5657894736842107e-08,119,,,,,,,,
0,,,,,,,,,119,0.22884735465049744,,,,,,,
,,,,,,,,1.631578947368421e-08,124,,,,,,,,
0,,,,,,,,,124,0.08486386388540268,,,,,,,
,,,,,,,,1.6973684210526312e-08,129,,,,,,,,
0,,,,,,,,,129,0.11803970485925674,,,,,,,
,,,,,,,,1.763157894736842e-08,134,,,,,,,,
0,,,,,,,,,134,0.25908881425857544,,,,,,,
,,,,,,,,1.8289473684210525e-08,139,,,,,,,,
0,,,,,,,,,139,0.10166401416063309,,,,,,,
,,,,,,,,1.8947368421052632e-08,144,,,,,,,,
0,,,,,,,,,144,0.07665234059095383,,,,,,,
,,,,,,,,1.9605263157894737e-08,149,,,,,,,,
0,,,,,,,,,149,0.052403852343559265,,,,,,,
0,,,,,,,,,151,0.139611154794693,0.574999988079071,0.7301587462425232,0.139611154794693,-0.001963146962225437,0.574999988079071,1.0,-0.022372493520379066
,,,,,,,,2.0263157894736838e-08,154,,,,,,,,
1,,,,,,,,,154,0.1567353755235672,,,,,,,
,,,,,,,,2.0921052631578946e-08,159,,,,,,,,
1,,,,,,,,,159,0.18381978571414948,,,,,,,
,,,,,,,,2.157894736842105e-08,164,,,,,,,,
1,,,,,,,,,164,0.09627576172351837,,,,,,,
,,,,,,,,2.223684210526316e-08,169,,,,,,,,
1,,,,,,,,,169,0.195060595870018,,,,,,,
,,,,,,,,2.2894736842105263e-08,174,,,,,,,,
1,,,,,,,,,174,0.2310643494129181,,,,,,,
,,,,,,,,2.3552631578947364e-08,179,,,,,,,,
1,,,,,,,,,179,0.057304613292217255,,,,,,,
,,,,,,,,2.4210526315789472e-08,184,,,,,,,,
1,,,,,,,,,184,0.14049726724624634,,,,,,,
,,,,,,,,2.4868421052631577e-08,189,,,,,,,,
1,,,,,,,,,189,0.12458699941635132,,,,,,,
,,,,,,,,2.5526315789473684e-08,194,,,,,,,,
1,,,,,,,,,194,0.16577288508415222,,,,,,,
,,,,,,,,2.618421052631579e-08,199,,,,,,,,
1,,,,,,,,,199,0.042971253395080566,,,,,,,
,,,,,,,,2.6842105263157894e-08,204,,,,,,,,
1,,,,,,,,,204,0.10959376394748688,,,,,,,
,,,,,,,,2.7499999999999998e-08,209,,,,,,,,
1,,,,,,,,,209,0.04760244861245155,,,,,,,
,,,,,,,,2.8157894736842103e-08,214,,,,,,,,
1,,,,,,,,,214,0.06531529873609543,,,,,,,
,,,,,,,,2.881578947368421e-08,219,,,,,,,,
1,,,,,,,,,219,0.12623929977416992,,,,,,,
,,,,,,,,2.9473684210526315e-08,224,,,,,,,,
1,,,,,,,,,224,0.03424637019634247,,,,,,,
,,,,,,,,3.013157894736842e-08,229,,,,,,,,
1,,,,,,,,,229,0.09607608616352081,,,,,,,
,,,,,,,,3.0789473684210524e-08,234,,,,,,,,
1,,,,,,,,,234,0.11812031269073486,,,,,,,
,,,,,,,,3.1447368421052635e-08,239,,,,,,,,
1,,,,,,,,,239,0.19728653132915497,,,,,,,
,,,,,,,,3.210526315789473e-08,244,,,,,,,,
1,,,,,,,,,244,0.15886078774929047,,,,,,,
,,,,,,,,3.276315789473684e-08,249,,,,,,,,
1,,,,,,,,,249,0.04058738052845001,,,,,,,
,,,,,,,,3.342105263157895e-08,254,,,,,,,,
1,,,,,,,,,254,0.1685314178466797,,,,,,,
,,,,,,,,3.4078947368421053e-08,259,,,,,,,,
1,,,,,,,,,259,0.11397507786750793,,,,,,,
,,,,,,,,3.473684210526316e-08,264,,,,,,,,
1,,,,,,,,,264,0.11104986071586609,,,,,,,
,,,,,,,,3.539473684210526e-08,269,,,,,,,,
1,,,,,,,,,269,0.07387178391218185,,,,,,,
,,,,,,,,3.605263157894737e-08,274,,,,,,,,
1,,,,,,,,,274,0.15637722611427307,,,,,,,
,,,,,,,,3.671052631578947e-08,279,,,,,,,,
1,,,,,,,,,279,0.07314528524875641,,,,,,,
,,,,,,,,3.7368421052631576e-08,284,,,,,,,,
1,,,,,,,,,284,0.14522689580917358,,,,,,,
,,,,,,,,3.802631578947369e-08,289,,,,,,,,
1,,,,,,,,,289,0.08138330280780792,,,,,,,
,,,,,,,,3.8684210526315785e-08,294,,,,,,,,
1,,,,,,,,,294,0.19968976080417633,,,,,,,
,,,,,,,,3.934210526315789e-08,299,,,,,,,,
1,,,,,,,,,299,0.10243010520935059,,,,,,,
1,,,,,,,,,303,0.13636839389801025,0.574999988079071,0.7301587462425232,0.13636839389801025,-0.004687136504799128,0.574999988079071,1.0,-0.023992327973246574
,,,,,,,,4e-08,304,,,,,,,,
2,,,,,,,,,304,0.0651201456785202,,,,,,,
,,,,,,,,4.0657894736842105e-08,309,,,,,,,,
2,,,,,,,,,309,0.125875785946846,,,,,,,
,,,,,,,,4.131578947368421e-08,314,,,,,,,,
2,,,,,,,,,314,0.13393570482730865,,,,,,,
,,,,,,,,4.1973684210526314e-08,319,,,,,,,,
2,,,,,,,,,319,0.14980468153953552,,,,,,,
,,,,,,,,4.263157894736842e-08,324,,,,,,,,
2,,,,,,,,,324,0.13178697228431702,,,,,,,
,,,,,,,,4.3289473684210524e-08,329,,,,,,,,
2,,,,,,,,,329,0.10803024470806122,,,,,,,
,,,,,,,,4.394736842105263e-08,334,,,,,,,,
2,,,,,,,,,334,0.14536063373088837,,,,,,,
,,,,,,,,4.460526315789474e-08,339,,,,,,,,
2,,,,,,,,,339,0.17830628156661987,,,,,,,
,,,,,,,,4.5263157894736844e-08,344,,,,,,,,
2,,,,,,,,,344,0.11811958253383636,,,,,,,
,,,,,,,,4.592105263157894e-08,349,,,,,,,,
2,,,,,,,,,349,0.01944560930132866,,,,,,,
,,,,,,,,4.657894736842105e-08,354,,,,,,,,
2,,,,,,,,,354,0.07121888548135757,,,,,,,
,,,,,,,,4.723684210526316e-08,359,,,,,,,,
2,,,,,,,,,359,0.048190705478191376,,,,,,,
,,,,,,,,4.789473684210526e-08,364,,,,,,,,
2,,,,,,,,,364,0.13876526057720184,,,,,,,
,,,,,,,,4.8552631578947366e-08,369,,,,,,,,
2,,,,,,,,,369,0.13647690415382385,,,,,,,
,,,,,,,,4.921052631578947e-08,374,,,,,,,,
2,,,,,,,,,374,0.07935815304517746,,,,,,,
,,,,,,,,4.9868421052631576e-08,379,,,,,,,,
2,,,,,,,,,379,0.060206953436136246,,,,,,,
,,,,,,,,5.052631578947368e-08,384,,,,,,,,
2,,,,,,,,,384,0.16390904784202576,,,,,,,
,,,,,,,,5.118421052631579e-08,389,,,,,,,,
2,,,,,,,,,389,0.044304415583610535,,,,,,,
,,,,,,,,5.1842105263157896e-08,394,,,,,,,,
2,,,,,,,,,394,0.08907419443130493,,,,,,,
,,,,,,,,5.2499999999999994e-08,399,,,,,,,,
2,,,,,,,,,399,0.05731280893087387,,,,,,,
,,,,,,,,5.3157894736842105e-08,404,,,,,,,,
2,,,,,,,,,404,0.07700549811124802,,,,,,,
,,,,,,,,5.381578947368421e-08,409,,,,,,,,
2,,,,,,,,,409,0.048451412469148636,,,,,,,
,,,,,,,,5.4473684210526314e-08,414,,,,,,,,
2,,,,,,,,,414,0.15803386270999908,,,,,,,
,,,,,,,,5.513157894736842e-08,419,,,,,,,,
2,,,,,,,,,419,0.15232689678668976,,,,,,,
,,,,,,,,5.578947368421052e-08,424,,,,,,,,
2,,,,,,,,,424,0.23467153310775757,,,,,,,
,,,,,,,,5.6447368421052634e-08,429,,,,,,,,
2,,,,,,,,,429,0.08698999136686325,,,,,,,
,,,,,,,,5.710526315789473e-08,434,,,,,,,,
2,,,,,,,,,434,0.05790822580456734,,,,,,,
,,,,,,,,5.776315789473684e-08,439,,,,,,,,
2,,,,,,,,,439,0.1320810467004776,,,,,,,
,,,,,,,,5.842105263157895e-08,444,,,,,,,,
2,,,,,,,,,444,0.19000312685966492,,,,,,,
,,,,,,,,5.9078947368421046e-08,449,,,,,,,,
2,,,,,,,,,449,0.13181976974010468,,,,,,,
,,,,,,,,5.973684210526315e-08,454,,,,,,,,
2,,,,,,,,,454,0.1265726387500763,,,,,,,
2,,,,,,,,,455,0.1271533966064453,0.574999988079071,0.7301587462425232,0.1271533966064453,-0.019583921879529953,0.574999988079071,1.0,-0.024379678070545197
,,,,,,,,6.039473684210527e-08,459,,,,,,,,
3,,,,,,,,,459,0.09888714551925659,,,,,,,
,,,,,,,,6.105263157894736e-08,464,,,,,,,,
3,,,,,,,,,464,0.09348445385694504,,,,,,,
,,,,,,,,6.171052631578946e-08,469,,,,,,,,
3,,,,,,,,,469,0.035989053547382355,,,,,,,
,,,,,,,,6.236842105263158e-08,474,,,,,,,,
3,,,,,,,,,474,0.17121906578540802,,,,,,,
,,,,,,,,6.302631578947367e-08,479,,,,,,,,
3,,,,,,,,,479,0.10377488285303116,,,,,,,
,,,,,,,,6.368421052631579e-08,484,,,,,,,,
3,,,,,,,,,484,0.12073232978582382,,,,,,,
,,,,,,,,6.43421052631579e-08,489,,,,,,,,
3,,,,,,,,,489,0.03645574674010277,,,,,,,
,,,,,,,,6.5e-08,494,,,,,,,,
3,,,,,,,,,494,0.06749827414751053,,,,,,,
,,,,,,,,6.56578947368421e-08,499,,,,,,,,
3,,,,,,,,,499,0.10984038561582565,,,,,,,
,,,,,,,,6.631578947368421e-08,504,,,,,,,,
3,,,,,,,,,504,0.13670426607131958,,,,,,,
,,,,,,,,6.697368421052631e-08,509,,,,,,,,
3,,,,,,,,,509,0.133466437458992,,,,,,,
,,,,,,,,6.763157894736842e-08,514,,,,,,,,
3,,,,,,,,,514,0.12805728614330292,,,,,,,
,,,,,,,,6.828947368421052e-08,519,,,,,,,,
3,,,,,,,,,519,0.11456211656332016,,,,,,,
,,,,,,,,6.894736842105263e-08,524,,,,,,,,
3,,,,,,,,,524,0.0898236483335495,,,,,,,
,,,,,,,,6.960526315789473e-08,529,,,,,,,,
3,,,,,,,,,529,0.07848969101905823,,,,,,,
,,,,,,,,7.026315789473685e-08,534,,,,,,,,
3,,,,,,,,,534,0.19881713390350342,,,,,,,
,,,,,,,,7.092105263157895e-08,539,,,,,,,,
3,,,,,,,,,539,0.08471424132585526,,,,,,,
,,,,,,,,7.157894736842105e-08,544,,,,,,,,
3,,,,,,,,,544,0.03372862935066223,,,,,,,
,,,,,,,,7.223684210526315e-08,549,,,,,,,,
3,,,,,,,,,549,0.061366304755210876,,,,,,,
,,,,,,,,7.289473684210525e-08,554,,,,,,,,
3,,,,,,,,,554,0.04535907506942749,,,,,,,
,,,,,,,,7.355263157894737e-08,559,,,,,,,,
3,,,,,,,,,559,0.06632717698812485,,,,,,,
,,,,,,,,7.421052631578948e-08,564,,,,,,,,
3,,,,,,,,,564,0.07915689051151276,,,,,,,
,,,,,,,,7.486842105263158e-08,569,,,,,,,,
3,,,,,,,,,569,0.05321037769317627,,,,,,,
,,,,,,,,7.552631578947367e-08,574,,,,,,,,
3,,,,,,,,,574,0.1294902265071869,,,,,,,
,,,,,,,,7.618421052631578e-08,579,,,,,,,,
3,,,,,,,,,579,0.16838179528713226,,,,,,,
,,,,,,,,7.68421052631579e-08,584,,,,,,,,
3,,,,,,,,,584,0.08894595503807068,,,,,,,
,,,,,,,,7.75e-08,589,,,,,,,,
3,,,,,,,,,589,0.09572633355855942,,,,,,,
,,,,,,,,7.81578947368421e-08,594,,,,,,,,
3,,,,,,,,,594,0.10155146569013596,,,,,,,
,,,,,,,,7.881578947368421e-08,599,,,,,,,,
3,,,,,,,,,599,0.03735976666212082,,,,,,,
,,,,,,,,7.947368421052631e-08,604,,,,,,,,
3,,,,,,,,,604,0.09857363253831863,,,,,,,
3,,,,,,,,,607,0.11440397799015045,0.574999988079071,0.7301587462425232,0.11440397799015045,-0.03419146686792374,0.574999988079071,1.0,-0.021633002907037735
,,,,,,,,8.013157894736842e-08,609,,,,,,,,
4,,,,,,,,,609,0.09323606640100479,,,,,,,
,,,,,,,,8.078947368421052e-08,614,,,,,,,,
4,,,,,,,,,614,0.08781414479017258,,,,,,,
,,,,,,,,8.144736842105263e-08,619,,,,,,,,
4,,,,,,,,,619,0.20555239915847778,,,,,,,
,,,,,,,,8.210526315789473e-08,624,,,,,,,,
4,,,,,,,,,624,0.12466610223054886,,,,,,,
,,,,,,,,8.276315789473684e-08,629,,,,,,,,
4,,,,,,,,,629,0.07134285569190979,,,,,,,
,,,,,,,,8.342105263157895e-08,634,,,,,,,,
4,,,,,,,,,634,0.1292189657688141,,,,,,,
,,,,,,,,8.407894736842106e-08,639,,,,,,,,
4,,,,,,,,,639,0.055451054126024246,,,,,,,
,,,,,,,,8.473684210526315e-08,644,,,,,,,,
4,,,,,,,,,644,0.1440262347459793,,,,,,,
,,,,,,,,8.539473684210525e-08,649,,,,,,,,
4,,,,,,,,,649,0.05344866216182709,,,,,,,
,,,,,,,,8.605263157894736e-08,654,,,,,,,,
4,,,,,,,,,654,0.1749429851770401,,,,,,,
,,,,,,,,8.671052631578948e-08,659,,,,,,,,
4,,,,,,,,,659,0.0886354148387909,,,,,,,
,,,,,,,,8.736842105263158e-08,664,,,,,,,,
4,,,,,,,,,664,0.121365986764431,,,,,,,
,,,,,,,,8.802631578947368e-08,669,,,,,,,,
4,,,,,,,,,669,0.08583695441484451,,,,,,,
,,,,,,,,8.868421052631579e-08,674,,,,,,,,
4,,,,,,,,,674,0.047628216445446014,,,,,,,
,,,,,,,,8.934210526315788e-08,679,,,,,,,,
4,,,,,,,,,679,0.05277957394719124,,,,,,,
,,,,,,,,9e-08,684,,,,,,,,
4,,,,,,,,,684,0.055977653712034225,,,,,,,
,,,,,,,,9.06578947368421e-08,689,,,,,,,,
4,,,,,,,,,689,0.13597242534160614,,,,,,,
,,,,,,,,9.131578947368421e-08,694,,,,,,,,
4,,,,,,,,,694,0.06036326661705971,,,,,,,
,,,,,,,,9.197368421052631e-08,699,,,,,,,,
4,,,,,,,,,699,0.1374174952507019,,,,,,,
,,,,,,,,9.263157894736842e-08,704,,,,,,,,
4,,,,,,,,,704,0.11295268684625626,,,,,,,
,,,,,,,,9.328947368421053e-08,709,,,,,,,,
4,,,,,,,,,709,0.16924849152565002,,,,,,,
,,,,,,,,9.394736842105263e-08,714,,,,,,,,
4,,,,,,,,,714,0.032348036766052246,,,,,,,
,,,,,,,,9.460526315789473e-08,719,,,,,,,,
4,,,,,,,,,719,0.1466723382472992,,,,,,,
,,,,,,,,9.526315789473683e-08,724,,,,,,,,
4,,,,,,,,,724,0.07093875855207443,,,,,,,
,,,,,,,,9.592105263157894e-08,729,,,,,,,,
4,,,,,,,,,729,0.10423213243484497,,,,,,,
,,,,,,,,9.657894736842106e-08,734,,,,,,,,
4,,,,,,,,,734,0.11233063042163849,,,,,,,
,,,,,,,,9.723684210526316e-08,739,,,,,,,,
4,,,,,,,,,739,0.1572064459323883,,,,,,,
,,,,,,,,9.789473684210525e-08,744,,,,,,,,
4,,,,,,,,,744,0.05910845845937729,,,,,,,
,,,,,,,,9.855263157894736e-08,749,,,,,,,,
4,,,,,,,,,749,0.09783115237951279,,,,,,,
,,,,,,,,9.921052631578946e-08,754,,,,,,,,
4,,,,,,,,,754,0.06728028506040573,,,,,,,
,,,,,,,,9.986842105263158e-08,759,,,,,,,,
4,,,,,,,,,759,0.01289768610149622,,,,,,,
4,,,,,,,,,759,0.1041153222322464,0.574999988079071,0.7301587462425232,0.1041153222322464,-0.0438399612903595,0.574999988079071,1.0,-0.03348831459879875
,,,,,,,,1.0052631578947368e-07,764,,,,,,,,
5,,,,,,,,,764,0.09869512915611267,,,,,,,
,,,,,,,,1.0118421052631579e-07,769,,,,,,,,
5,,,,,,,,,769,0.13621628284454346,,,,,,,
,,,,,,,,1.018421052631579e-07,774,,,,,,,,
5,,,,,,,,,774,0.13610710203647614,,,,,,,
,,,,,,,,1.0249999999999998e-07,779,,,,,,,,
5,,,,,,,,,779,0.04702790454030037,,,,,,,
,,,,,,,,1.031578947368421e-07,784,,,,,,,,
5,,,,,,,,,784,0.1187312975525856,,,,,,,
,,,,,,,,1.0381578947368421e-07,789,,,,,,,,
5,,,,,,,,,789,0.025759030133485794,,,,,,,
,,,,,,,,1.0447368421052631e-07,794,,,,,,,,
5,,,,,,,,,794,0.10662853717803955,,,,,,,
,,,,,,,,1.0513157894736842e-07,799,,,,,,,,
5,,,,,,,,,799,0.05824022367596626,,,,,,,
,,,,,,,,1.0578947368421052e-07,804,,,,,,,,
5,,,,,,,,,804,0.05611453950405121,,,,,,,
,,,,,,,,1.0644736842105264e-07,809,,,,,,,,
5,,,,,,,,,809,0.08019205927848816,,,,,,,
,,,,,,,,1.0710526315789473e-07,814,,,,,,,,
5,,,,,,,,,814,0.09626206010580063,,,,,,,
,,,,,,,,1.0776315789473683e-07,819,,,,,,,,
5,,,,,,,,,819,0.09248394519090652,,,,,,,
,,,,,,,,1.0842105263157894e-07,824,,,,,,,,
5,,,,,,,,,824,0.06629205495119095,,,,,,,
,,,,,,,,1.0907894736842104e-07,829,,,,,,,,
5,,,,,,,,,829,0.07083922624588013,,,,,,,
,,,,,,,,1.0973684210526316e-07,834,,,,,,,,
5,,,,,,,,,834,0.08984211087226868,,,,,,,
,,,,,,,,1.1039473684210527e-07,839,,,,,,,,
5,,,,,,,,,839,0.13723941147327423,,,,,,,
,,,,,,,,1.1105263157894737e-07,844,,,,,,,,
5,,,,,,,,,844,0.13673371076583862,,,,,,,
