epoch,eval_accuracy,eval_f1,eval_mse,eval_pearson,eval_precision,eval_recall,eval_spearman,lr-AdamW,step,train_loss,val_accuracy,val_f1,val_mse,val_pearson,val_precision,val_recall,val_spearman
,,,,,,,,2.64026402640264e-10,4,,,,,,,,
0,,,,,,,,,4,0.15475383400917053,,,,,,,
,,,,,,,,5.940594059405941e-10,9,,,,,,,,
0,,,,,,,,,9,0.05259360745549202,,,,,,,
,,,,,,,,9.24092409240924e-10,14,,,,,,,,
0,,,,,,,,,14,0.1831105798482895,,,,,,,
,,,,,,,,1.2541254125412543e-09,19,,,,,,,,
0,,,,,,,,,19,0.2132994532585144,,,,,,,
,,,,,,,,1.5841584158415842e-09,24,,,,,,,,
0,,,,,,,,,24,0.09343473613262177,,,,,,,
,,,,,,,,1.914191419141914e-09,29,,,,,,,,
0,,,,,,,,,29,0.047706760466098785,,,,,,,
,,,,,,,,2.2442244224422443e-09,34,,,,,,,,
0,,,,,,,,,34,0.15652261674404144,,,,,,,
,,,,,,,,2.5742574257425743e-09,39,,,,,,,,
0,,,,,,,,,39,0.06703277677297592,,,,,,,
,,,,,,,,2.9042904290429042e-09,44,,,,,,,,
0,,,,,,,,,44,0.07725155353546143,,,,,,,
,,,,,,,,3.234323432343234e-09,49,,,,,,,,
0,,,,,,,,,49,0.07961862534284592,,,,,,,
,,,,,,,,3.564356435643564e-09,54,,,,,,,,
0,,,,,,,,,54,0.2048577070236206,,,,,,,
,,,,,,,,3.894389438943894e-09,59,,,,,,,,
0,,,,,,,,,59,0.09408841282129288,,,,,,,
,,,,,,,,4.224422442244224e-09,64,,,,,,,,
0,,,,,,,,,64,0.041363976895809174,,,,,,,
,,,,,,,,4.554455445544554e-09,69,,,,,,,,
0,,,,,,,,,69,0.18684907257556915,,,,,,,
,,,,,,,,4.884488448844884e-09,74,,,,,,,,
0,,,,,,,,,74,0.0948101282119751,,,,,,,
,,,,,,,,5.214521452145214e-09,79,,,,,,,,
0,,,,,,,,,79,0.12044397741556168,,,,,,,
,,,,,,,,5.544554455445544e-09,84,,,,,,,,
0,,,,,,,,,84,0.10031092911958694,,,,,,,
,,,,,,,,5.874587458745874e-09,89,,,,,,,,
0,,,,,,,,,89,0.24870631098747253,,,,,,,
,,,,,,,,6.204620462046204e-09,94,,,,,,,,
0,,,,,,,,,94,0.18159498274326324,,,,,,,
,,,,,,,,6.5346534653465345e-09,99,,,,,,,,
0,,,,,,,,,99,0.10472507029771805,,,,,,,
,,,,,,,,6.8646864686468644e-09,104,,,,,,,,
0,,,,,,,,,104,0.0868433341383934,,,,,,,
,,,,,,,,7.194719471947194e-09,109,,,,,,,,
0,,,,,,,,,109,0.0808107778429985,,,,,,,
,,,,,,,,7.524752475247524e-09,114,,,,,,,,
0,,,,,,,,,114,0.17397357523441315,,,,,,,
,,,,,,,,7.854785478547854e-09,119,,,,,,,,
0,,,,,,,,,119,0.056159645318984985,,,,,,,
,,,,,,,,8.184818481848183e-09,124,,,,,,,,
0,,,,,,,,,124,0.17597468197345734,,,,,,,
,,,,,,,,8.514851485148516e-09,129,,,,,,,,
0,,,,,,,,,129,0.18955035507678986,,,,,,,
,,,,,,,,8.844884488448845e-09,134,,,,,,,,
0,,,,,,,,,134,0.11277329176664352,,,,,,,
,,,,,,,,9.174917491749176e-09,139,,,,,,,,
0,,,,,,,,,139,0.1070922240614891,,,,,,,
,,,,,,,,9.504950495049505e-09,144,,,,,,,,
0,,,,,,,,,144,0.10729293525218964,,,,,,,
,,,,,,,,9.834983498349836e-09,149,,,,,,,,
0,,,,,,,,,149,0.2146795094013214,,,,,,,
,,,,,,,,1.0165016501650165e-08,154,,,,,,,,
0,,,,,,,,,154,0.1539200395345688,,,,,,,
,,,,,,,,1.0495049504950496e-08,159,,,,,,,,
0,,,,,,,,,159,0.11906376481056213,,,,,,,
,,,,,,,,1.0825082508250825e-08,164,,,,,,,,
0,,,,,,,,,164,0.14465095102787018,,,,,,,
,,,,,,,,1.1155115511551155e-08,169,,,,,,,,
0,,,,,,,,,169,0.12353515625,,,,,,,
,,,,,,,,1.1485148514851485e-08,174,,,,,,,,
0,,,,,,,,,174,0.06246360391378403,,,,,,,
,,,,,,,,1.1815181518151815e-08,179,,,,,,,,
0,,,,,,,,,179,0.1948113888502121,,,,,,,
,,,,,,,,1.2145214521452144e-08,184,,,,,,,,
0,,,,,,,,,184,0.12421193718910217,,,,,,,
,,,,,,,,1.2475247524752475e-08,189,,,,,,,,
0,,,,,,,,,189,0.19503682851791382,,,,,,,
,,,,,,,,1.2805280528052804e-08,194,,,,,,,,
0,,,,,,,,,194,0.10678760707378387,,,,,,,
,,,,,,,,1.3135313531353135e-08,199,,,,,,,,
0,,,,,,,,,199,0.1415337324142456,,,,,,,
,,,,,,,,1.3465346534653464e-08,204,,,,,,,,
0,,,,,,,,,204,0.13649070262908936,,,,,,,
